tweet,original_sentiment,conllu_parse
Khabarhub: Anger rages in China after govt. fails to tackle coronavirus epidemic -,negative,"# text = Khabarhub:
1	Khabarhub	khabarhub	NOUN	NN	_	0	ROOT	_	_
2	:	:	PUNCT	:	_	1	punct	_	_

# text = Anger rages in China after govt.
1	Anger	anger	NOUN	NN	_	2	compound	_	_
2	rages	rage	NOUN	NNS	_	0	ROOT	_	_
3	in	in	ADP	IN	_	2	prep	_	_
4	China	China	PROPN	NNP	_	3	pobj	_	_
5	after	after	ADP	IN	_	2	prep	_	_
6	govt	govt	NOUN	NNS	_	5	pobj	_	_
7	.	.	PUNCT	.	_	2	punct	_	_

# text = fails to tackle coronavirus epidemic -
1	fails	fail	VERB	VBZ	_	0	ROOT	_	_
2	to	to	PART	TO	_	3	aux	_	_
3	tackle	tackle	VERB	VB	_	1	xcomp	_	_
4	coronavirus	coronavirus	NOUN	NN	_	5	compound	_	_
5	epidemic	epidemic	NOUN	NN	_	3	dobj	_	_
6	-	-	PUNCT	.	_	1	punct	_	_"
Hmm #Parasite or #CoronaVirus 2020 seems #scary,negative,"# text = Hmm #Parasite or #CoronaVirus 2020 seems #scary
1	Hmm	hmm	INTJ	UH	_	3	compound	_	_
2	#	#	PROPN	NNP	_	3	compound	_	_
3	Parasite	parasite	NOUN	NN	_	8	nsubj	_	_
4	or	or	CCONJ	CC	_	3	cc	_	_
5	#	#	SYM	$	_	6	nmod	_	_
6	CoronaVirus	CoronaVirus	PROPN	NNP	_	3	conj	_	_
7	2020	2020	NUM	CD	_	6	nummod	_	_
8	seems	seem	VERB	VBZ	_	0	ROOT	_	_
9	#	#	SYM	$	_	8	oprd	_	_
10	scary	scary	ADJ	JJ	_	8	oprd	_	_"
so like.. coronavirus has reached my town.. 😃,neutral,"# text = so like.. coronavirus has reached my town.. 😃
1	so	so	ADV	RB	_	6	advmod	_	_
2	like	like	INTJ	UH	_	6	intj	_	_
3	..	..	PUNCT	NFP	_	6	punct	_	_
4	coronavirus	coronavirus	PROPN	NNP	_	6	nsubj	_	_
5	has	have	AUX	VBZ	_	6	aux	_	_
6	reached	reach	VERB	VBN	_	0	ROOT	_	_
7	my	my	PRON	PRP$	_	8	poss	_	_
8	town	town	NOUN	NN	_	6	dobj	_	_
9	..	..	PUNCT	.	_	8	punct	_	_
10	😃	😃	PROPN	NNP	_	8	appos	_	_"
I think I got corona virus,neutral,"# text = I think I got corona virus
1	I	I	PRON	PRP	_	2	nsubj	_	_
2	think	think	VERB	VBP	_	0	ROOT	_	_
3	I	I	PRON	PRP	_	4	nsubj	_	_
4	got	get	VERB	VBD	_	2	ccomp	_	_
5	corona	corona	PROPN	NNP	_	6	compound	_	_
6	virus	virus	NOUN	NN	_	4	dobj	_	_"
The patent Daily is out! Stories via @MICKYNewsOz @GeorgeMee @uspatentbot #patent #coronavirus,neutral,"# text = The patent Daily is out!
1	The	the	DET	DT	_	2	det	_	_
2	patent	patent	NOUN	NN	_	4	nsubj	_	_
3	Daily	Daily	PROPN	NNP	_	4	nsubj	_	_
4	is	be	AUX	VBZ	_	0	ROOT	_	_
5	out	out	ADP	RP	_	4	advmod	_	_
6	!	!	PUNCT	.	_	4	punct	_	_

# text = Stories via @MICKYNewsOz @GeorgeMee @uspatentbot #patent #coronavirus
1	Stories	story	NOUN	NNS	_	9	nsubj	_	_
2	via	via	ADP	IN	_	1	prep	_	_
3	@MICKYNewsOz	@MICKYNewsOz	PROPN	NNP	_	5	nmod	_	_
4	@GeorgeMee	@GeorgeMee	PROPN	NNP	_	5	compound	_	_
5	@uspatentbot	@uspatentbot	PROPN	NNP	_	2	pobj	_	_
6	#	#	NOUN	NN	_	7	punct	_	_
7	patent	patent	NOUN	NN	_	9	compound	_	_
8	#	#	SYM	$	_	7	prep	_	_
9	coronavirus	coronavirus	NOUN	NN	_	0	ROOT	_	_"
Record spike in coronavirus deaths in China its getting worse by the day its so sad,negative,"# text = Record spike in coronavirus deaths in China its getting worse by the day its so sad
1	Record	record	NOUN	NN	_	2	compound	_	_
2	spike	spike	NOUN	NN	_	16	npadvmod	_	_
3	in	in	ADP	IN	_	2	prep	_	_
4	coronavirus	coronavirus	NOUN	NN	_	5	compound	_	_
5	deaths	death	NOUN	NNS	_	3	pobj	_	_
6	in	in	ADP	IN	_	5	prep	_	_
7	China	China	PROPN	NNP	_	6	pobj	_	_
8	its	its	PRON	PRP$	_	9	poss	_	_
9	getting	get	VERB	VBG	_	2	appos	_	_
10	worse	bad	ADJ	JJR	_	9	acomp	_	_
11	by	by	ADP	IN	_	9	prep	_	_
12	the	the	DET	DT	_	13	det	_	_
13	day	day	NOUN	NN	_	11	pobj	_	_
14	its	its	PRON	PRP$	_	16	poss	_	_
15	so	so	ADV	RB	_	16	advmod	_	_
16	sad	sad	ADJ	JJ	_	0	ROOT	_	_"
Market Snapshot: Dow skids 1.4% lower as coronavirus spread rattles Wall Street,neutral,"# text = Market Snapshot: Dow skids 1.4% lower as coronavirus spread rattles Wall Street
1	Market	market	NOUN	NN	_	2	compound	_	_
2	Snapshot	snapshot	NOUN	NN	_	5	nsubj	_	_
3	:	:	PUNCT	:	_	2	punct	_	_
4	Dow	Dow	PROPN	NNP	_	5	nsubj	_	_
5	skids	skid	VERB	VBZ	_	0	ROOT	_	_
6	1.4	1.4	NUM	CD	_	7	nummod	_	_
7	%	%	NOUN	NN	_	8	npadvmod	_	_
8	lower	low	ADJ	JJR	_	5	acomp	_	_
9	as	as	SCONJ	IN	_	12	mark	_	_
10	coronavirus	coronavirus	NOUN	NN	_	11	compound	_	_
11	spread	spread	NOUN	NN	_	12	nsubj	_	_
12	rattles	rattle	VERB	VBZ	_	8	advcl	_	_
13	Wall	Wall	PROPN	NNP	_	14	compound	_	_
14	Street	Street	PROPN	NNP	_	12	dobj	_	_"
"Coronavirus, Organic or Purposely Released? via @YouTube",neutral,"# text = Coronavirus, Organic or Purposely Released?
1	Coronavirus	Coronavirus	PROPN	NNP	_	0	ROOT	_	_
2	,	,	PUNCT	,	_	1	punct	_	_
3	Organic	Organic	PROPN	NNP	_	1	conj	_	_
4	or	or	CCONJ	CC	_	3	cc	_	_
5	Purposely	purposely	ADV	RB	_	6	advmod	_	_
6	Released	release	VERB	VBN	_	3	conj	_	_
7	?	?	PUNCT	.	_	1	punct	_	_

# text = via @YouTube
1	via	via	ADP	IN	_	0	ROOT	_	_
2	@YouTube	@youtube	NOUN	NN	_	1	pobj	_	_"
#Coronavirus: Can it spread via door handles? And other questions,negative,"# text = #Coronavirus: Can it spread via door handles?
1	#	#	SYM	$	_	2	punct	_	_
2	Coronavirus	Coronavirus	PROPN	NNP	_	6	npadvmod	_	_
3	:	:	PUNCT	:	_	6	punct	_	_
4	Can	can	AUX	MD	_	6	aux	_	_
5	it	it	PRON	PRP	_	6	nsubj	_	_
6	spread	spread	VERB	VB	_	0	ROOT	_	_
7	via	via	ADP	IN	_	6	prep	_	_
8	door	door	NOUN	NN	_	9	compound	_	_
9	handles	handle	NOUN	NNS	_	7	pobj	_	_
10	?	?	PUNCT	.	_	6	punct	_	_

# text = And other questions
1	And	and	CCONJ	CC	_	3	cc	_	_
2	other	other	ADJ	JJ	_	3	amod	_	_
3	questions	question	NOUN	NNS	_	0	ROOT	_	_"
I've had a feeling of being unwell my whole life but I don't think it's from the coronavirus,neutral,"# text = I've had a feeling of being unwell my whole life
1	I	I	PRON	PRP	_	3	nsubj	_	_
2	've	have	AUX	VBP	_	3	aux	_	_
3	had	have	VERB	VBN	_	0	ROOT	_	_
4	a	a	DET	DT	_	5	det	_	_
5	feeling	feeling	NOUN	NN	_	3	dobj	_	_
6	of	of	ADP	IN	_	5	prep	_	_
7	being	be	AUX	VBG	_	6	pcomp	_	_
8	unwell	unwell	ADJ	JJ	_	7	acomp	_	_
9	my	my	PRON	PRP$	_	11	poss	_	_
10	whole	whole	ADJ	JJ	_	11	amod	_	_
11	life	life	NOUN	NN	_	3	dobj	_	_

# text = but I don't think it's from the coronavirus
1	but	but	CCONJ	CC	_	5	cc	_	_
2	I	I	PRON	PRP	_	5	nsubj	_	_
3	do	do	AUX	VBP	_	5	aux	_	_
4	n't	not	PART	RB	_	5	neg	_	_
5	think	think	VERB	VB	_	0	ROOT	_	_
6	it	it	PRON	PRP	_	7	nsubj	_	_
7	's	be	AUX	VBZ	_	5	ccomp	_	_
8	from	from	ADP	IN	_	7	prep	_	_
9	the	the	DET	DT	_	10	det	_	_
10	coronavirus	coronavirus	NOUN	NN	_	8	pobj	_	_"
"@roenelkriekgma1 Kenya Airways suspended flights to China, 5 suspected coronavirus cases tested negative.",negative,"# text = @roenelkriekgma1 Kenya Airways suspended flights to China, 5 suspected coronavirus cases tested negative.
1	@roenelkriekgma1	@roenelkriekgma1	PROPN	NNP	_	3	compound	_	_
2	Kenya	Kenya	PROPN	NNP	_	3	compound	_	_
3	Airways	Airways	PROPN	NNP	_	4	nsubj	_	_
4	suspended	suspend	VERB	VBD	_	13	ccomp	_	_
5	flights	flight	NOUN	NNS	_	4	dobj	_	_
6	to	to	ADP	IN	_	5	prep	_	_
7	China	China	PROPN	NNP	_	6	pobj	_	_
8	,	,	PUNCT	,	_	13	punct	_	_
9	5	5	NUM	CD	_	12	nummod	_	_
10	suspected	suspect	VERB	VBN	_	12	amod	_	_
11	coronavirus	coronavirus	NOUN	NN	_	12	compound	_	_
12	cases	case	NOUN	NNS	_	13	nsubj	_	_
13	tested	test	VERB	VBD	_	0	ROOT	_	_
14	negative	negative	ADJ	JJ	_	13	advmod	_	_
15	.	.	PUNCT	.	_	13	punct	_	_"
Make sure you get in the sauna after your workout.. it may help you fight off that corona virus,positive,"# text = Make sure you get in the sauna after your workout.. it may help you fight off that corona virus
1	Make	make	VERB	VB	_	14	advcl	_	_
2	sure	sure	ADJ	JJ	_	1	acomp	_	_
3	you	you	PRON	PRP	_	4	nsubj	_	_
4	get	get	VERB	VBP	_	2	ccomp	_	_
5	in	in	ADP	IN	_	4	prep	_	_
6	the	the	DET	DT	_	7	det	_	_
7	sauna	sauna	NOUN	NNS	_	5	pobj	_	_
8	after	after	ADP	IN	_	4	prep	_	_
9	your	your	PRON	PRP$	_	10	poss	_	_
10	workout	workout	NOUN	NN	_	8	pobj	_	_
11	..	..	PUNCT	.	_	14	punct	_	_
12	it	it	PRON	PRP	_	14	nsubj	_	_
13	may	may	AUX	MD	_	14	aux	_	_
14	help	help	VERB	VB	_	0	ROOT	_	_
15	you	you	PRON	PRP	_	16	nsubj	_	_
16	fight	fight	VERB	VB	_	14	ccomp	_	_
17	off	off	ADP	RP	_	16	prt	_	_
18	that	that	DET	DT	_	20	det	_	_
19	corona	corona	PROPN	NNP	_	20	compound	_	_
20	virus	virus	NOUN	NN	_	16	dobj	_	_"
Ray Dalio thinks the coronavirus' hit to global markets is probably exaggerated,negative,"# text = Ray Dalio thinks the coronavirus' hit to global markets is probably exaggerated
1	Ray	Ray	PROPN	NNP	_	2	compound	_	_
2	Dalio	Dalio	PROPN	NNP	_	3	nsubj	_	_
3	thinks	think	VERB	VBZ	_	0	ROOT	_	_
4	the	the	DET	DT	_	5	det	_	_
5	coronavirus	coronavirus	NOUN	NN	_	7	poss	_	_
6	'	'	PUNCT	''	_	5	case	_	_
7	hit	hit	NOUN	NN	_	11	nsubj	_	_
8	to	to	ADP	IN	_	7	prep	_	_
9	global	global	ADJ	JJ	_	10	amod	_	_
10	markets	market	NOUN	NNS	_	8	pobj	_	_
11	is	be	AUX	VBZ	_	3	ccomp	_	_
12	probably	probably	ADV	RB	_	11	advmod	_	_
13	exaggerated	exaggerated	ADJ	JJ	_	11	acomp	_	_"
"Plague Inc. experiences popularity surge following Coronavirus outbreak, devs issue warning",neutral,"# text = Plague Inc. experiences popularity surge following Coronavirus outbreak, devs issue warning
1	Plague	Plague	PROPN	NNP	_	2	compound	_	_
2	Inc.	Inc.	PROPN	NNP	_	3	nsubj	_	_
3	experiences	experience	VERB	VBZ	_	12	ccomp	_	_
4	popularity	popularity	NOUN	NN	_	5	compound	_	_
5	surge	surge	NOUN	NN	_	3	dobj	_	_
6	following	follow	VERB	VBG	_	5	prep	_	_
7	Coronavirus	Coronavirus	PROPN	NNP	_	8	compound	_	_
8	outbreak	outbreak	NOUN	NN	_	6	pobj	_	_
9	,	,	PUNCT	,	_	12	punct	_	_
10	devs	devs	NOUN	NN	_	11	compound	_	_
11	issue	issue	NOUN	NN	_	12	nsubj	_	_
12	warning	warn	VERB	VBG	_	0	ROOT	_	_"
moas on weverse really be telling one another to take care of their health and stay safe from Corona virus,neutral,"# text = moas on weverse really be telling one another to take care of their health and stay safe from Corona virus
1	moas	moas	PROPN	NNP	_	6	dep	_	_
2	on	on	ADP	IN	_	6	prep	_	_
3	weverse	weverse	NOUN	NN	_	2	pobj	_	_
4	really	really	ADV	RB	_	6	advmod	_	_
5	be	be	AUX	VB	_	6	aux	_	_
6	telling	tell	VERB	VBG	_	0	ROOT	_	_
7	one	one	NOUN	NN	_	6	dobj	_	_
8	another	another	DET	DT	_	7	det	_	_
9	to	to	PART	TO	_	10	aux	_	_
10	take	take	VERB	VB	_	6	xcomp	_	_
11	care	care	NOUN	NN	_	10	dobj	_	_
12	of	of	ADP	IN	_	10	prep	_	_
13	their	their	PRON	PRP$	_	14	poss	_	_
14	health	health	NOUN	NN	_	12	pobj	_	_
15	and	and	CCONJ	CC	_	10	cc	_	_
16	stay	stay	VERB	VB	_	10	conj	_	_
17	safe	safe	ADJ	JJ	_	16	acomp	_	_
18	from	from	ADP	IN	_	16	prep	_	_
19	Corona	Corona	PROPN	NNP	_	20	compound	_	_
20	virus	virus	NOUN	NN	_	18	pobj	_	_"
your bape mask wont protect you against the corona virus btw,neutral,"# text = your bape mask wont protect you against the corona virus btw
1	your	your	PRON	PRP$	_	3	poss	_	_
2	bape	bape	NOUN	NN	_	3	compound	_	_
3	mask	mask	NOUN	NN	_	6	nsubj	_	_
4	wo	will	AUX	MD	_	6	aux	_	_
5	nt	not	PART	RB	_	6	neg	_	_
6	protect	protect	VERB	VB	_	0	ROOT	_	_
7	you	you	PRON	PRP	_	6	dobj	_	_
8	against	against	ADP	IN	_	6	prep	_	_
9	the	the	DET	DT	_	11	det	_	_
10	corona	corona	PROPN	NNP	_	11	compound	_	_
11	virus	virus	PROPN	NNP	_	8	pobj	_	_
12	btw	btw	ADV	RB	_	6	conj	_	_"
The looks that @NIHDirector & Anthony Fauci are giving the are priceless!!! #NIH #CoronaVirus,positive,"# text = The looks that @NIHDirector & Anthony Fauci are giving the are priceless!!!
1	The	the	DET	DT	_	2	det	_	_
2	looks	look	NOUN	NNS	_	0	ROOT	_	_
3	that	that	SCONJ	IN	_	9	mark	_	_
4	@NIHDirector	@NIHDirector	PROPN	NNP	_	9	nsubj	_	_
5	&	&	CCONJ	CC	_	4	cc	_	_
6	Anthony	Anthony	PROPN	NNP	_	7	compound	_	_
7	Fauci	Fauci	PROPN	NNP	_	4	conj	_	_
8	are	be	AUX	VBP	_	9	aux	_	_
9	giving	give	VERB	VBG	_	2	relcl	_	_
10	the	the	DET	DT	_	11	det	_	_
11	are	be	AUX	VBP	_	9	dobj	_	_
12	priceless	priceless	ADJ	JJ	_	11	acomp	_	_
13	!	!	PUNCT	.	_	2	punct	_	_
14	!	!	PUNCT	.	_	2	punct	_	_
15	!	!	PUNCT	.	_	2	punct	_	_

# text = #NIH #CoronaVirus
1	#	#	SYM	$	_	4	nmod	_	_
2	NIH	NIH	PROPN	NNP	_	4	nmod	_	_
3	#	#	SYM	$	_	4	nmod	_	_
4	CoronaVirus	CoronaVirus	PROPN	NNP	_	0	ROOT	_	_"
"However, these optimistic estimates may have to be downward adjusted by the black swan - the coronavirus.",negative,"# text = However, these optimistic estimates may have to be downward adjusted by the black swan - the coronavirus.
1	However	however	ADV	RB	_	7	advmod	_	_
2	,	,	PUNCT	,	_	7	punct	_	_
3	these	these	DET	DT	_	5	det	_	_
4	optimistic	optimistic	ADJ	JJ	_	5	amod	_	_
5	estimates	estimate	NOUN	NNS	_	7	nsubj	_	_
6	may	may	AUX	MD	_	7	aux	_	_
7	have	have	VERB	VB	_	0	ROOT	_	_
8	to	to	PART	TO	_	11	aux	_	_
9	be	be	AUX	VB	_	11	auxpass	_	_
10	downward	downward	ADV	RB	_	11	advmod	_	_
11	adjusted	adjust	VERB	VBN	_	7	xcomp	_	_
12	by	by	ADP	IN	_	11	agent	_	_
13	the	the	DET	DT	_	15	det	_	_
14	black	black	ADJ	JJ	_	15	amod	_	_
15	swan	swan	NOUN	NN	_	12	pobj	_	_
16	-	-	PUNCT	:	_	15	punct	_	_
17	the	the	DET	DT	_	18	det	_	_
18	coronavirus	coronavirus	NOUN	NN	_	15	appos	_	_
19	.	.	PUNCT	.	_	7	punct	_	_"
@KaliDaal yes they have supported the victims & prayed for them but not in Delhi that were the coronavirus victims :),positive,"# text = @KaliDaal yes they have supported the victims & prayed for them but not in Delhi that were the coronavirus victims :)
1	@KaliDaal	@kalidaal	X	XX	_	2	dep	_	_
2	yes	yes	INTJ	UH	_	5	intj	_	_
3	they	they	PRON	PRP	_	5	nsubj	_	_
4	have	have	AUX	VBP	_	5	aux	_	_
5	supported	support	VERB	VBN	_	0	ROOT	_	_
6	the	the	DET	DT	_	7	det	_	_
7	victims	victim	NOUN	NNS	_	5	dobj	_	_
8	&	&	CCONJ	CC	_	5	cc	_	_
9	prayed	pray	VERB	VBD	_	5	conj	_	_
10	for	for	ADP	IN	_	9	prep	_	_
11	them	they	PRON	PRP	_	10	pobj	_	_
12	but	but	CCONJ	CC	_	9	cc	_	_
13	not	not	PART	RB	_	14	neg	_	_
14	in	in	ADP	IN	_	9	conj	_	_
15	Delhi	Delhi	PROPN	NNP	_	14	pobj	_	_
16	that	that	PRON	WDT	_	17	nsubj	_	_
17	were	be	AUX	VBD	_	5	ccomp	_	_
18	the	the	DET	DT	_	20	det	_	_
19	coronavirus	coronavirus	NOUN	NN	_	20	compound	_	_
20	victims	victim	NOUN	NNS	_	17	attr	_	_
21	:)	:)	PUNCT	.	_	5	punct	_	_"
"@nytimes Our prayers are with Chinese brothers, May ALLAH bestow Good health to all CoronaVirus victims, Here From Pakistan",neutral,"# text = @nytimes Our prayers are with Chinese brothers, May ALLAH bestow Good health to all CoronaVirus victims, Here From Pakistan
1	@nytimes	@nytimes	PROPN	NNP	_	4	npadvmod	_	_
2	Our	our	PRON	PRP$	_	3	poss	_	_
3	prayers	prayer	NOUN	NNS	_	4	nsubj	_	_
4	are	be	AUX	VBP	_	11	ccomp	_	_
5	with	with	ADP	IN	_	4	prep	_	_
6	Chinese	chinese	ADJ	JJ	_	7	amod	_	_
7	brothers	brother	NOUN	NNS	_	5	pobj	_	_
8	,	,	PUNCT	,	_	11	punct	_	_
9	May	May	PROPN	NNP	_	10	compound	_	_
10	ALLAH	ALLAH	PROPN	NNP	_	11	nsubj	_	_
11	bestow	bestow	VERB	VB	_	0	ROOT	_	_
12	Good	good	ADJ	JJ	_	13	amod	_	_
13	health	health	NOUN	NN	_	11	dobj	_	_
14	to	to	ADP	IN	_	11	prep	_	_
15	all	all	DET	DT	_	17	det	_	_
16	CoronaVirus	CoronaVirus	PROPN	NNP	_	17	compound	_	_
17	victims	victim	NOUN	NNS	_	14	pobj	_	_
18	,	,	PUNCT	,	_	11	punct	_	_
19	Here	here	ADV	RB	_	11	advmod	_	_
20	From	from	ADP	IN	_	19	prep	_	_
21	Pakistan	Pakistan	PROPN	NNP	_	20	pobj	_	_"
@SoulfulEars Lemme know if this coronavirus lowers prices like significantly!,positive,"# text = @SoulfulEars Lemme know if this coronavirus lowers prices like significantly!
1	@SoulfulEars	@soulfulear	VERB	VBZ	_	3	dep	_	_
2	Lemme	Lemme	PROPN	NNP	_	3	nsubj	_	_
3	know	know	VERB	VBP	_	0	ROOT	_	_
4	if	if	SCONJ	IN	_	7	mark	_	_
5	this	this	DET	DT	_	6	det	_	_
6	coronavirus	coronavirus	NOUN	NN	_	7	nsubj	_	_
7	lowers	lower	VERB	VBZ	_	3	ccomp	_	_
8	prices	price	NOUN	NNS	_	7	dobj	_	_
9	like	like	ADP	IN	_	7	prep	_	_
10	significantly	significantly	ADV	RB	_	7	advmod	_	_
11	!	!	PUNCT	.	_	3	punct	_	_"
I'll be rereading the hot zone to distract myslef from the coronavirus doomsday scenario.,neutral,"# text = I'll be rereading the hot zone to distract myslef from the coronavirus doomsday scenario.
1	I	I	PRON	PRP	_	4	nsubj	_	_
2	'll	will	AUX	MD	_	4	aux	_	_
3	be	be	AUX	VB	_	4	aux	_	_
4	rereading	reread	VERB	VBG	_	0	ROOT	_	_
5	the	the	DET	DT	_	7	det	_	_
6	hot	hot	ADJ	JJ	_	7	amod	_	_
7	zone	zone	NOUN	NN	_	4	dobj	_	_
8	to	to	PART	TO	_	9	aux	_	_
9	distract	distract	VERB	VB	_	7	relcl	_	_
10	myslef	myslef	NOUN	NN	_	9	dobj	_	_
11	from	from	ADP	IN	_	9	prep	_	_
12	the	the	DET	DT	_	15	det	_	_
13	coronavirus	coronavirus	PROPN	NNP	_	15	compound	_	_
14	doomsday	doomsday	PROPN	NNP	_	15	compound	_	_
15	scenario	scenario	NOUN	NN	_	11	pobj	_	_
16	.	.	PUNCT	.	_	4	punct	_	_"
Goldman now sees the Federal Reserve getting even more aggressive in the face of coronavirus scare,positive,"# text = Goldman now sees the Federal Reserve getting even more aggressive in the face of coronavirus scare
1	Goldman	Goldman	PROPN	NNP	_	3	nsubj	_	_
2	now	now	ADV	RB	_	3	advmod	_	_
3	sees	see	VERB	VBZ	_	0	ROOT	_	_
4	the	the	DET	DT	_	6	det	_	_
5	Federal	Federal	PROPN	NNP	_	6	compound	_	_
6	Reserve	Reserve	PROPN	NNP	_	7	nsubj	_	_
7	getting	get	VERB	VBG	_	3	ccomp	_	_
8	even	even	ADV	RB	_	9	advmod	_	_
9	more	more	ADV	RBR	_	10	advmod	_	_
10	aggressive	aggressive	ADJ	JJ	_	7	acomp	_	_
11	in	in	ADP	IN	_	7	prep	_	_
12	the	the	DET	DT	_	13	det	_	_
13	face	face	NOUN	NN	_	11	pobj	_	_
14	of	of	ADP	IN	_	13	prep	_	_
15	coronavirus	coronavirus	NOUN	NN	_	16	compound	_	_
16	scare	scare	NOUN	NN	_	14	pobj	_	_"
"Coronavirus cases spread across globe, countries gear up for the challenge: Top developments",positive,"# text = Coronavirus cases spread across globe, countries gear up for the challenge: Top developments
1	Coronavirus	coronavirus	NOUN	NN	_	2	compound	_	_
2	cases	case	NOUN	NNS	_	3	nsubj	_	_
3	spread	spread	VERB	VBD	_	8	ccomp	_	_
4	across	across	ADP	IN	_	3	prep	_	_
5	globe	globe	NOUN	NN	_	4	pobj	_	_
6	,	,	PUNCT	,	_	8	punct	_	_
7	countries	country	NOUN	NNS	_	8	nsubj	_	_
8	gear	gear	VERB	VBP	_	0	ROOT	_	_
9	up	up	ADP	RP	_	8	prt	_	_
10	for	for	ADP	IN	_	8	prep	_	_
11	the	the	DET	DT	_	12	det	_	_
12	challenge	challenge	NOUN	NN	_	10	pobj	_	_
13	:	:	PUNCT	:	_	8	punct	_	_
14	Top	top	ADJ	JJ	_	15	amod	_	_
15	developments	development	NOUN	NNS	_	8	npadvmod	_	_"
coronavirus - monitoring,neutral,"# text = coronavirus - monitoring
1	coronavirus	coronavirus	PROPN	NNP	_	3	compound	_	_
2	-	-	PUNCT	HYPH	_	3	punct	_	_
3	monitoring	monitoring	NOUN	NN	_	0	ROOT	_	_"
Symptoms of coronavirus: what to look for and how it is being treated via @Telegraph,neutral,"# text = Symptoms of coronavirus: what to look for and how it is being treated via @Telegraph
1	Symptoms	symptom	NOUN	NNS	_	0	ROOT	_	_
2	of	of	ADP	IN	_	1	prep	_	_
3	coronavirus	coronavirus	NOUN	NN	_	2	pobj	_	_
4	:	:	PUNCT	:	_	1	punct	_	_
5	what	what	PRON	WP	_	8	pobj	_	_
6	to	to	PART	TO	_	7	aux	_	_
7	look	look	VERB	VB	_	1	relcl	_	_
8	for	for	ADP	IN	_	7	prep	_	_
9	and	and	CCONJ	CC	_	7	cc	_	_
10	how	how	SCONJ	WRB	_	14	advmod	_	_
11	it	it	PRON	PRP	_	14	nsubjpass	_	_
12	is	be	AUX	VBZ	_	14	aux	_	_
13	being	be	AUX	VBG	_	14	auxpass	_	_
14	treated	treat	VERB	VBN	_	7	conj	_	_
15	via	via	ADP	IN	_	14	prep	_	_
16	@Telegraph	@Telegraph	PROPN	NNP	_	15	pobj	_	_"
the coronavirus is about to expose and test tf out of the US healthcare system even more,positive,"# text = the coronavirus is about to expose and test tf out of the US healthcare system even more
1	the	the	DET	DT	_	2	det	_	_
2	coronavirus	coronavirus	NOUN	NN	_	3	nsubj	_	_
3	is	be	AUX	VBZ	_	0	ROOT	_	_
4	about	about	ADJ	JJ	_	3	acomp	_	_
5	to	to	PART	TO	_	6	aux	_	_
6	expose	expose	VERB	VB	_	4	xcomp	_	_
7	and	and	CCONJ	CC	_	6	cc	_	_
8	test	test	VERB	VB	_	6	conj	_	_
9	tf	tf	INTJ	UH	_	8	dobj	_	_
10	out	out	ADP	IN	_	8	prep	_	_
11	of	of	ADP	IN	_	10	prep	_	_
12	the	the	DET	DT	_	15	det	_	_
13	US	US	PROPN	NNP	_	15	compound	_	_
14	healthcare	healthcare	NOUN	NN	_	15	compound	_	_
15	system	system	NOUN	NN	_	11	pobj	_	_
16	even	even	ADV	RB	_	17	advmod	_	_
17	more	more	ADV	RBR	_	3	advmod	_	_"
"@Of45Fan @JoeSilverman7 @ImCh1quita Whatever helps you sleep at nite. If coronavirus explodes, and they develop a vaccine, will you get it?",neutral,"# text = @Of45Fan @JoeSilverman7
1	@Of45Fan	@Of45Fan	PUNCT	NFP	_	0	ROOT	_	_
2	@JoeSilverman7	@joesilverman7	X	ADD	_	1	punct	_	_

# text = @ImCh1quita Whatever helps you sleep at nite.
1	@ImCh1quita	@ImCh1quita	PROPN	NNP	_	3	npadvmod	_	_
2	Whatever	whatever	PRON	WDT	_	3	nsubj	_	_
3	helps	help	VERB	VBZ	_	0	ROOT	_	_
4	you	you	PRON	PRP	_	5	nsubj	_	_
5	sleep	sleep	VERB	VB	_	3	ccomp	_	_
6	at	at	ADP	IN	_	5	prep	_	_
7	nite	nite	ADJ	JJ	_	6	pobj	_	_
8	.	.	PUNCT	.	_	3	punct	_	_

# text = If coronavirus explodes, and they develop a vaccine, will you get it?
1	If	if	SCONJ	IN	_	3	mark	_	_
2	coronavirus	coronavirus	NOUN	NN	_	3	compound	_	_
3	explodes	explode	NOUN	NNS	_	13	advcl	_	_
4	,	,	PUNCT	,	_	3	punct	_	_
5	and	and	CCONJ	CC	_	3	cc	_	_
6	they	they	PRON	PRP	_	7	nsubj	_	_
7	develop	develop	VERB	VBP	_	3	conj	_	_
8	a	a	DET	DT	_	9	det	_	_
9	vaccine	vaccine	NOUN	NN	_	7	dobj	_	_
10	,	,	PUNCT	,	_	13	punct	_	_
11	will	will	AUX	MD	_	13	aux	_	_
12	you	you	PRON	PRP	_	13	nsubj	_	_
13	get	get	VERB	VB	_	0	ROOT	_	_
14	it	it	PRON	PRP	_	13	dobj	_	_
15	?	?	PUNCT	.	_	13	punct	_	_"
